# t a n e i omx omy omz A B C E lx ly lz ang lox loy loz Ixx Iyy Izz Ixy Iyz Ixz
0.000 6.000000e+02 6.8041e-02 0.0100 5.0000e-02 1.0408e-17 -1.7101e-01 4.6985e-01 0.698 0.624 0.339 1.227 0.00938 -0.11444 0.32863 0.28633 -0.00000 -1224.17402 24463.07417 0.34010 0.62743 0.69392 -0.00334 -0.01520 0.01874 
100.004 6.138679e+02 6.5749e-02 0.0465 5.1313e-02 -6.6235e-02 -1.6080e-01 4.7461e-01 0.690 0.610 0.319 1.307 -0.02695 -0.10904 0.32855 0.27876 -117.79162 -1263.95026 24716.95183 0.32243 0.61470 0.68083 -0.02643 -0.02516 -0.02074 
200.000 6.260019e+02 6.3846e-02 0.0681 5.2532e-02 -1.0659e-01 -1.2104e-01 4.7584e-01 0.689 0.611 0.320 1.302 -0.06219 -0.08647 0.32841 0.26562 -310.34852 -1273.41721 24927.48602 0.34017 0.61273 0.66658 -0.04217 -0.03529 -0.06522 
300.000 6.247544e+02 6.4038e-02 0.0449 5.0959e-02 -1.2216e-01 -7.2142e-02 4.8217e-01 0.686 0.608 0.318 1.306 -0.09034 -0.05620 0.32686 0.27298 -551.56219 -1146.07378 24937.49920 0.36916 0.59678 0.64560 -0.05853 -0.04209 -0.10258 
400.000 6.183846e+02 6.5030e-02 0.0316 4.9080e-02 -1.2528e-01 -2.2755e-02 4.8601e-01 0.685 0.606 0.320 1.340 -0.10100 -0.02215 0.32707 0.27429 -640.33099 -1037.73027 24825.02302 0.39599 0.57168 0.64280 -0.08439 -0.04056 -0.10970 
500.000 6.100157e+02 6.6373e-02 0.0187 5.0417e-02 -1.2003e-01 2.2914e-02 4.8664e-01 0.686 0.608 0.319 1.313 -0.09262 0.01536 0.33016 0.25815 -735.92813 -1003.56742 24662.79598 0.40499 0.54954 0.65856 -0.11557 -0.02281 -0.08500 
600.004 6.114263e+02 6.6143e-02 0.0251 5.2740e-02 -1.1027e-01 5.8620e-02 4.8841e-01 0.686 0.607 0.319 1.326 -0.07166 0.04837 0.33376 0.25030 -893.90823 -948.13606 24684.88428 0.40610 0.53222 0.67393 -0.13306 0.00512 -0.03906 
700.004 6.129533e+02 6.5896e-02 0.0335 5.2647e-02 -8.4891e-02 8.3784e-02 4.9103e-01 0.688 0.608 0.319 1.325 -0.04387 0.06923 0.33653 0.24877 -1037.93134 -786.24794 24709.74130 0.42052 0.51302 0.68157 -0.13927 0.02938 0.00713 
800.004 6.182884e+02 6.5045e-02 0.0113 4.9481e-02 -3.5702e-02 1.0122e-01 4.9519e-01 0.687 0.608 0.318 1.325 -0.01324 0.07343 0.33889 0.23601 -1092.19479 -565.23351 24833.39679 0.44838 0.48629 0.67890 -0.14026 0.03877 0.03426 
900.004 6.223191e+02 6.4414e-02 0.0116 4.8416e-02 2.9392e-02 1.0298e-01 4.9365e-01 0.689 0.611 0.317 1.309 0.01933 0.06203 0.34089 0.22263 -1112.60795 -468.58255 24915.41828 0.47998 0.45696 0.68006 -0.14195 0.03879 0.04019 
1000.004 6.225919e+02 6.4372e-02 0.0389 5.1399e-02 8.5836e-02 8.0252e-02 4.9300e-01 0.686 0.607 0.319 1.325 0.04911 0.04033 0.34037 0.23275 -1228.94972 -361.27026 24899.94468 0.50462 0.42875 0.67871 -0.13571 0.03564 0.03386 
1100.004 6.139523e+02 6.5735e-02 0.0325 5.3330e-02 1.0694e-01 2.9504e-02 4.9177e-01 0.686 0.607 0.319 1.313 0.06327 0.01207 0.33872 0.24118 -1307.98356 -178.42293 24729.79048 0.52959 0.40015 0.68250 -0.12696 0.02814 0.02110 
